[INFO] Using run: jolly-water-235 (47h6gdg8)
cuda
Namespace(agent='RPC', env_name='Walker2d-v5', device='cuda', seed=2, num_train_steps=1000000, learning_starts=20000, gamma=0.99, tau=0.005, env_buffer_size=1000000, target_update_interval=1, log_interval=500, save_snapshot_interval=10000, eval_episode_interval=10000, num_eval_episodes=5, latent_dims=16, model_hidden_dims=256, model_num_layers=2, kl_constraint=1.0, lambda_init=1e-05, alpha_autotune=True, alpha_init=0.2, noise_factor=2, batch_size=256, seq_len=4, lr=0.0003, record_eval=True, video_dir='videos', video_fps=30, use_rpc=1)
RPC: True
[save_snapshot] saved /home/harsh/arjun/robust-predictable-control/checkpoints/RPC_Walker2d-v5/2025-10-16_13-25-46_RPC_Walker2d-v5_seed_2_kl_1_47h6gdg8/0.pt
Episode: 274, total numsteps: 6052, return: 4.89
Episode: 275, total numsteps: 6062, return: -1.94
Episode: 276, total numsteps: 6074, return: 2.88
Episode: 277, total numsteps: 6089, return: -3.99
Episode: 278, total numsteps: 6112, return: -4.99
Episode: 279, total numsteps: 6129, return: -0.12
Episode: 280, total numsteps: 6160, return: 6.53
Episode: 281, total numsteps: 6179, return: -1.66
Episode: 282, total numsteps: 6197, return: -0.48
Episode: 283, total numsteps: 6211, return: 0.11
Episode: 284, total numsteps: 6235, return: -12.99
Episode: 285, total numsteps: 6253, return: -2.08
Episode: 286, total numsteps: 6270, return: 2.85
Episode: 287, total numsteps: 6282, return: -1.73
Episode: 288, total numsteps: 6293, return: -1.28
Episode: 289, total numsteps: 6322, return: 11.09
Episode: 290, total numsteps: 6346, return: -3.2
Episode: 291, total numsteps: 6363, return: -6.38
Episode: 292, total numsteps: 6388, return: 11.1
Episode: 293, total numsteps: 6417, return: 8.35
Episode: 294, total numsteps: 6437, return: -1.13
Episode: 295, total numsteps: 6455, return: -3.71
Episode: 296, total numsteps: 6487, return: 15.1
Episode: 297, total numsteps: 6496, return: -5.99
Episode: 298, total numsteps: 6528, return: 6.04
Episode: 299, total numsteps: 6555, return: 5.64
Episode: 300, total numsteps: 6573, return: -6.43
Episode: 301, total numsteps: 6592, return: 5.9
Episode: 302, total numsteps: 6612, return: 7.57
Episode: 303, total numsteps: 6637, return: 8.28
Episode: 304, total numsteps: 6648, return: -4.29
Episode: 305, total numsteps: 6660, return: -4.15
Episode: 306, total numsteps: 6692, return: 14.95
Episode: 307, total numsteps: 6729, return: 17.9
Episode: 308, total numsteps: 6757, return: -0.42
Episode: 309, total numsteps: 6774, return: 3.33
Episode: 310, total numsteps: 6809, return: 6.22
Episode: 311, total numsteps: 6833, return: 6.59
Episode: 312, total numsteps: 6866, return: 3.95
Episode: 313, total numsteps: 6904, return: 14.21
Episode: 314, total numsteps: 6920, return: -2.37
Episode: 315, total numsteps: 6932, return: -6.17
Episode: 316, total numsteps: 6953, return: 5.33
Episode: 317, total numsteps: 6965, return: 1.41
Episode: 318, total numsteps: 6980, return: -2.95
Episode: 319, total numsteps: 6993, return: 2.17
Episode: 320, total numsteps: 7003, return: -0.95
Episode: 321, total numsteps: 7017, return: -7.91
Episode: 322, total numsteps: 7034, return: -0.64
Episode: 323, total numsteps: 7050, return: 4.87
Episode: 324, total numsteps: 7070, return: -1.39
Episode: 325, total numsteps: 7094, return: 1.73
Episode: 326, total numsteps: 7118, return: 2.1
Episode: 327, total numsteps: 7130, return: 0.18
Episode: 328, total numsteps: 7149, return: 5.08
Episode: 329, total numsteps: 7165, return: -0.62
Episode: 330, total numsteps: 7178, return: -3.18
Episode: 331, total numsteps: 7195, return: 5.58
Episode: 332, total numsteps: 7220, return: 0.89
Episode: 333, total numsteps: 7242, return: -1.86
Episode: 334, total numsteps: 7253, return: -3.57
Episode: 335, total numsteps: 7272, return: 6.65
Episode: 336, total numsteps: 7295, return: -6.6
Episode: 337, total numsteps: 7360, return: 49.16
Episode: 338, total numsteps: 7377, return: -0.3
Episode: 339, total numsteps: 7408, return: 11.94
Episode: 340, total numsteps: 7426, return: 5.34
Episode: 341, total numsteps: 7447, return: 8.45
Episode: 342, total numsteps: 7460, return: -0.07
Episode: 343, total numsteps: 7477, return: 2.11
Episode: 344, total numsteps: 7495, return: -1.65
Episode: 345, total numsteps: 7510, return: -4.84
Episode: 346, total numsteps: 7529, return: -2.31
Episode: 347, total numsteps: 7552, return: 11.01
Episode: 348, total numsteps: 7579, return: 1.04
Episode: 349, total numsteps: 7595, return: -3.32
Episode: 350, total numsteps: 7608, return: -3.36
Episode: 351, total numsteps: 7631, return: -2.67
Episode: 352, total numsteps: 7653, return: -1.25
Episode: 353, total numsteps: 7672, return: -0.15
Episode: 354, total numsteps: 7689, return: 0.49
Episode: 355, total numsteps: 7707, return: -0.27
Episode: 356, total numsteps: 7731, return: 7.28
Episode: 357, total numsteps: 7775, return: 4.89
Episode: 358, total numsteps: 7796, return: 0.84
Episode: 359, total numsteps: 7803, return: -4.53
Episode: 360, total numsteps: 7826, return: 9.89
Episode: 361, total numsteps: 7854, return: -1.85
Episode: 362, total numsteps: 7862, return: -1.7
Episode: 363, total numsteps: 7896, return: 6.55
Episode: 364, total numsteps: 7924, return: -2.99
Episode: 365, total numsteps: 7945, return: -2.9
Episode: 366, total numsteps: 7970, return: -3.31
Episode: 367, total numsteps: 7993, return: 3.74
Episode: 368, total numsteps: 8004, return: 0.62
Episode: 369, total numsteps: 8023, return: 0.71
Episode: 370, total numsteps: 8039, return: 3.35
Episode: 371, total numsteps: 8066, return: -0.96
Episode: 372, total numsteps: 8093, return: -2.22
Episode: 373, total numsteps: 8143, return: 9.74
Episode: 374, total numsteps: 8164, return: 7.36
Episode: 375, total numsteps: 8175, return: -5.12
Episode: 376, total numsteps: 8208, return: -3.37
Episode: 377, total numsteps: 8222, return: -3.02
Episode: 378, total numsteps: 8243, return: 8.26
Episode: 379, total numsteps: 8275, return: 1.34
Episode: 380, total numsteps: 8303, return: -0.42
Episode: 381, total numsteps: 8335, return: 7.55
Episode: 382, total numsteps: 8372, return: 12.45
Episode: 383, total numsteps: 8395, return: 4.64
Episode: 384, total numsteps: 8409, return: -1.37
Episode: 385, total numsteps: 8436, return: 17.72
